Drug,AssayNo,RepNo,sgRNA,PctRed
PDS_IC50,CGA4,Rep3,MUS81.2 (20:1),73.2
PDS_IC50,CGA7,Rep1,MUS81.2 (20:1),48.6
PDS_IC50,CGA7,Rep2,MUS81.2 (20:1),46.9
PDS_IC50,CGA7,Rep3,MUS81.2 (20:1),55.1
PDS_IC30,CGA4,Rep1,MUS81.2 (20:1),66.1
PDS_IC30,CGA4,Rep2,MUS81.2 (20:1),68.4
PDS_IC30,CGA4,Rep3,MUS81.2 (20:1),65
PDS_IC30,CGA7,Rep1,MUS81.2 (20:1),43.4
PDS_IC30,CGA7,Rep2,MUS81.2 (20:1),40.2
PDS_IC30,CGA7,Rep3,MUS81.2 (20:1),33
BMH-21_IC30,CGA4,Rep1,MUS81.2 (20:1),72.7
BMH-21_IC30,CGA4,Rep2,MUS81.2 (20:1),58.4
BMH-21_IC30,CGA4,Rep3,MUS81.2 (20:1),68.2
BMH-21_IC30,CGA5,Rep1,MUS81.2 (20:1),57.4
BMH-21_IC30,CGA5,Rep2,MUS81.2 (20:1),57.7
BMH-21_IC30,CGA5,Rep3,MUS81.2 (20:1),59.3
Vehicle,CGA4,Rep1,MUS81.3 (20:1),67.8
Vehicle,CGA4,Rep2,MUS81.3 (20:1),69.2
Vehicle,CGA4,Rep3,MUS81.3 (20:1),64.9
Vehicle,CGA5,Rep1,MUS81.3 (20:1),73.5
Vehicle,CGA5,Rep2,MUS81.3 (20:1),70.5
Vehicle,CGA5,Rep3,MUS81.3 (20:1),73.1
Vehicle,CGA7,Rep1,MUS81.3 (20:1),52.9
Vehicle,CGA7,Rep2,MUS81.3 (20:1),52.8
Vehicle,CGA7,Rep3,MUS81.3 (20:1),55.9
CX-5461_IC50,CGA4,Rep1,MUS81.3 (20:1),61.4
CX-5461_IC50,CGA4,Rep2,MUS81.3 (20:1),65.3
CX-5461_IC50,CGA4,Rep3,MUS81.3 (20:1),40
CX-5461_IC50,CGA5,Rep1,MUS81.3 (20:1),59.6
CX-5461_IC50,CGA5,Rep2,MUS81.3 (20:1),60
CX-5461_IC50,CGA5,Rep3,MUS81.3 (20:1),57
CX-5461_IC30,CGA4,Rep1,MUS81.3 (20:1),65.1
CX-5461_IC30,CGA4,Rep2,MUS81.3 (20:1),57.8
CX-5461_IC30,CGA4,Rep3,MUS81.3 (20:1),50.5
CX-5461_IC30,CGA5,Rep1,MUS81.3 (20:1),56.5
CX-5461_IC30,CGA5,Rep2,MUS81.3 (20:1),58
CX-5461_IC30,CGA5,Rep3,MUS81.3 (20:1),55.7
PDS_IC50,CGA4,Rep1,MUS81.3 (20:1),56.8
PDS_IC50,CGA4,Rep2,MUS81.3 (20:1),63.1
PDS_IC50,CGA4,Rep3,MUS81.3 (20:1),65.2
PDS_IC50,CGA7,Rep1,MUS81.3 (20:1),58.5
PDS_IC50,CGA7,Rep2,MUS81.3 (20:1),37.7
PDS_IC50,CGA7,Rep3,MUS81.3 (20:1),63.3
PDS_IC30,CGA4,Rep1,MUS81.3 (20:1),62.5
PDS_IC30,CGA4,Rep2,MUS81.3 (20:1),60.8
PDS_IC30,CGA4,Rep3,MUS81.3 (20:1),61.7
PDS_IC30,CGA7,Rep1,MUS81.3 (20:1),44.1
PDS_IC30,CGA7,Rep2,MUS81.3 (20:1),43.7
PDS_IC30,CGA7,Rep3,MUS81.3 (20:1),42.8
BMH-21_IC30,CGA4,Rep1,MUS81.3 (20:1),65.8
BMH-21_IC30,CGA4,Rep2,MUS81.3 (20:1),71.5
BMH-21_IC30,CGA4,Rep3,MUS81.3 (20:1),66
BMH-21_IC30,CGA5,Rep1,MUS81.3 (20:1),70
BMH-21_IC30,CGA5,Rep2,MUS81.3 (20:1),71.5
BMH-21_IC30,CGA5,Rep3,MUS81.3 (20:1),70.8
Vehicle,CGA4,Rep1,MMS22L.3  (20:1),40.6
Vehicle,CGA4,Rep2,MMS22L.3  (20:1),29.6
Vehicle,CGA4,Rep3,MMS22L.3  (20:1),37.5
Vehicle,CGA5,Rep1,MMS22L.3  (20:1),72.1
Vehicle,CGA5,Rep2,MMS22L.3  (20:1),70.6
Vehicle,CGA5,Rep3,MMS22L.3  (20:1),70
Vehicle,CGA7,Rep1,MMS22L.3  (20:1),24.1
Vehicle,CGA7,Rep2,MMS22L.3  (20:1),19.4
Vehicle,CGA7,Rep3,MMS22L.3  (20:1),27
CX-5461_IC50,CGA4,Rep1,MMS22L.3  (20:1),37.1
CX-5461_IC50,CGA4,Rep2,MMS22L.3  (20:1),5.26
CX-5461_IC50,CGA4,Rep3,MMS22L.3  (20:1),27.3
CX-5461_IC50,CGA5,Rep1,MMS22L.3  (20:1),9.1
CX-5461_IC50,CGA5,Rep2,MMS22L.3  (20:1),50.1
CX-5461_IC50,CGA5,Rep3,MMS22L.3  (20:1),50.6
CX-5461_IC30,CGA4,Rep1,MMS22L.3  (20:1),17.6
CX-5461_IC30,CGA4,Rep2,MMS22L.3  (20:1),18.6
CX-5461_IC30,CGA4,Rep3,MMS22L.3  (20:1),12.8
CX-5461_IC30,CGA5,Rep1,MMS22L.3  (20:1),45.9
CX-5461_IC30,CGA5,Rep2,MMS22L.3  (20:1),50.3
CX-5461_IC30,CGA5,Rep3,MMS22L.3  (20:1),48.2
PDS_IC50,CGA4,Rep1,MMS22L.3  (20:1),15.7
PDS_IC50,CGA4,Rep2,MMS22L.3  (20:1),18.5
PDS_IC50,CGA4,Rep3,MMS22L.3  (20:1),21.8
PDS_IC50,CGA7,Rep1,MMS22L.3  (20:1),10.1
PDS_IC50,CGA7,Rep2,MMS22L.3  (20:1),17.9
PDS_IC50,CGA7,Rep3,MMS22L.3  (20:1),23.9
PDS_IC30,CGA4,Rep1,MMS22L.3  (20:1),20.3
