id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
DNA2,6,0.13014,0.25153,0.976925,134,3,0.060854,0.1441,0.960213,78,1
PDS5B,6,0.1311,0.25314,0.976925,135,3,0.17706,0.32048,0.966698,166,3
UBE2A,6,0.1325,0.25525,0.976925,136,2,0.5078,0.63545,0.984347,338,1
CHAF1B,6,0.13352,0.25676,0.976925,137,3,0.25375,0.39993,0.966698,204,2
SF3B3,6,0.134,0.25725,0.976925,138,3,0.92944,0.92863,0.984347,500,0
SHFM1,6,0.13414,0.2574,0.976925,139,2,0.46674,0.5973,0.969086,324,1
POLR2D,6,0.13498,0.25871,0.976925,140,3,0.23919,0.38803,0.966698,196,1
PSME2,6,0.13841,0.26367,0.976925,141,3,0.64759,0.70358,0.984347,371,1
CDC27,6,0.1403,0.26657,0.976925,142,2,0.72867,0.75194,0.984347,396,1
PSMD8,6,0.14089,0.26724,0.976925,143,3,0.16632,0.30434,0.966698,155,2
NTHL1,6,0.14138,0.26808,0.976925,144,2,0.83792,0.83741,0.984347,442,1
SMC5,6,0.14188,0.26866,0.976925,145,3,0.4005,0.53332,0.966698,286,1
REC8,6,0.14245,0.26943,0.976925,146,2,0.40111,0.53403,0.966698,287,2
TAF1A,6,0.14498,0.27335,0.976925,147,1,0.88218,0.8806,0.984347,466,0
NonTargetControl_0010,1,0.1459,0.27477,0.976925,148,1,0.8541,0.85239,0.984347,454,0
ATXN3,6,0.14824,0.27783,0.976925,149,2,0.42102,0.55237,0.966698,299,2
ERCC8,6,0.14895,0.27868,0.976925,150,3,0.20091,0.35357,0.966698,178,1
CUL4A,6,0.14896,0.27868,0.976925,151,2,0.77592,0.784,0.984347,414,1
CDC16,6,0.15036,0.28082,0.976925,152,2,0.18894,0.33801,0.966698,172,2
CDK1,6,0.15215,0.28379,0.976925,153,2,0.10141,0.2069,0.966698,106,2
SGOL2,6,0.15482,0.28742,0.976925,154,2,0.053793,0.13278,0.938284,75,3
AURKB,6,0.15571,0.28865,0.976925,155,3,0.98302,0.98241,0.988004,527,0
PSMD13,6,0.15749,0.29106,0.976925,156,2,0.81106,0.81337,0.984347,426,1
POLD3,6,0.15826,0.29216,0.976925,157,3,0.47092,0.60119,0.969086,326,2
NonTargetControl_0043,1,0.15853,0.29269,0.976925,158,1,0.84147,0.84055,0.984347,444,0
POLG2,6,0.15926,0.29392,0.976925,159,1,0.02332,0.066421,0.870348,37,2
RAD54B,6,0.16222,0.29838,0.976925,160,3,0.926,0.92523,0.984347,493,0
ALKBH1,6,0.16407,0.30074,0.976925,161,3,0.78232,0.78917,0.984347,416,1
TOP2A,6,0.16456,0.30139,0.976925,162,1,0.053054,0.13149,0.938284,74,2
