id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
POLR2H,6,0.16074,0.31309,0.962871,170,3,0.93735,0.93638,0.996177,494,0
XRCC6,6,0.16089,0.31324,0.962871,171,3,0.79411,0.8364,0.996177,431,1
POLR2K,6,0.16103,0.31348,0.962871,172,3,0.1454,0.29866,0.982857,160,3
XAB2,6,0.1628,0.31602,0.962871,173,2,0.26014,0.43857,0.996177,226,3
POLA2,6,0.16301,0.31611,0.962871,174,3,0.09576,0.22274,0.971779,118,3
APEX1,6,0.16456,0.31809,0.963366,175,2,0.6247,0.74387,0.996177,383,2
POLR1B,6,0.16808,0.32319,0.97325,176,1,0.84498,0.86332,0.996177,442,1
MCM10,6,0.16984,0.32538,0.974297,177,1,0.6261,0.74518,0.996177,385,2
ALKBH2,6,0.17487,0.33167,0.984656,178,3,0.045303,0.12301,0.905459,72,2
SUPT3H,6,0.17651,0.33367,0.984656,179,3,0.058456,0.15037,0.9375,83,3
CSNK1D,6,0.17761,0.33494,0.984656,180,3,0.76876,0.82278,0.996177,426,1
SUMO1,6,0.17857,0.33627,0.984656,181,2,0.23884,0.4134,0.996177,211,2
C19orf40,6,0.18093,0.3395,0.988657,182,3,0.3829,0.56607,0.996177,294,2
TERT,6,0.18377,0.34326,0.99141,183,1,0.11951,0.26493,0.971779,142,2
ABCF2,6,0.1855,0.3449,0.99141,184,2,0.43586,0.6018,0.996177,314,2
CEP192,6,0.1865,0.34606,0.99141,185,2,0.67059,0.78118,0.996177,404,2
MCM7,6,0.19115,0.35198,0.999972,186,2,0.083487,0.19874,0.956904,108,4
PDS5B,6,0.19348,0.35478,0.999972,187,2,0.59916,0.72416,0.996177,374,2
NonTargetControl_0049,1,0.19437,0.35579,0.999972,188,1,0.80563,0.84193,0.996177,433,0
FAM175A,6,0.19617,0.35813,0.999972,189,3,0.28527,0.46707,0.996177,242,1
CDC23,6,0.1966,0.35856,0.999972,190,2,0.19192,0.35792,0.996177,188,2
SLX1A,6,0.20079,0.3645,0.999972,191,3,0.23851,0.41299,0.996177,210,3
RBM14,6,0.20602,0.37089,0.999972,192,2,0.93695,0.93599,0.996177,493,0
SMC1A,6,0.20768,0.37283,0.999972,193,2,0.36351,0.55286,0.996177,286,2
ORC6,6,0.20838,0.37373,0.999972,194,2,0.4835,0.63616,0.996177,331,1
TAF1A,6,0.21076,0.37656,0.999972,195,2,0.10654,0.24391,0.971779,128,2
POLG2,6,0.2119,0.37787,0.999972,196,3,0.8559,0.87021,0.996177,448,1
PSMD8,6,0.21792,0.38488,0.999972,197,2,0.86112,0.87331,0.996177,452,1
MCM5,6,0.21845,0.38564,0.999972,198,3,0.97838,0.97774,0.996177,515,0
MRE11A,6,0.21951,0.38684,0.999972,199,2,0.056673,0.14658,0.9375,80,4
DNA2,6,0.22385,0.39237,0.999972,200,3,0.88956,0.89353,0.996177,466,1
PSMA7,6,0.22432,0.3928,0.999972,201,2,0.8733,0.88157,0.996177,456,1
UBE2A,6,0.22439,0.39284,0.999972,202,1,0.30743,0.49399,0.996177,259,3
PSMD4,6,0.2277,0.39747,0.999972,203,2,0.24209,0.41749,0.996177,216,2
ERCC3,6,0.231,0.40212,0.999972,204,1,0.64805,0.76242,0.996177,395,2
PSMD14,6,0.23398,0.40571,0.999972,205,2,0.97273,0.97225,0.996177,510,0
POLR1A,6,0.23803,0.41047,0.999972,206,2,0.54567,0.68204,0.996177,356,2
RECQL5,6,0.24244,0.41572,0.999972,207,2,0.035134,0.10279,0.905459,55,4
EME2,6,0.24569,0.41936,0.999972,208,2,0.47994,0.63321,0.996177,330,1
XPA,6,0.24595,0.41961,0.999972,209,3,0.49403,0.64425,0.996177,335,1
XRN2,6,0.24892,0.42278,0.999972,210,2,0.22935,0.40203,0.996177,209,2
DICER1,6,0.25214,0.42687,0.999972,211,2,0.079042,0.18988,0.956904,102,4
REV3L,6,0.25695,0.43279,0.999972,212,2,0.21013,0.37955,0.996177,198,3
TAOK1,6,0.26172,0.43872,0.999972,213,2,0.011811,0.042546,0.905459,21,2
PMS1,6,0.26173,0.43872,0.999972,214,1,0.33441,0.52648,0.996177,275,3
ESPL1,6,0.26332,0.44053,0.999972,215,2,0.17159,0.33182,0.996177,176,1
ORC1,6,0.26363,0.44094,0.999972,216,3,0.75003,0.81439,0.996177,423,1
UBE2V2,6,0.26427,0.44172,0.999972,217,3,0.98479,0.98421,0.996177,517,0
PRIM1,6,0.26491,0.4426,0.999972,218,1,0.11767,0.26261,0.971779,140,3
MCM2,6,0.27004,0.44879,0.999972,219,3,0.34673,0.53946,0.996177,278,3
HFM1,6,0.27078,0.44966,0.999972,220,2,0.26965,0.44933,0.996177,234,1
MAD2L2,6,0.27122,0.45019,0.999972,221,1,0.62819,0.74669,0.996177,387,2
ERCC5,6,0.27133,0.45032,0.999972,222,3,0.01262,0.045442,0.905459,22,3
NonTargetControl_0046,1,0.27218,0.4512,0.999972,223,1,0.72782,0.80597,0.996177,416,0
POLB,6,0.27391,0.45303,0.999972,224,3,0.19066,0.35631,0.996177,187,1
IP6K3,6,0.27714,0.45667,0.999972,225,3,0.037055,0.10655,0.905459,59,3
RNF8,6,0.27749,0.45706,0.999972,226,1,0.058902,0.15135,0.9375,84,3
PRKDC,6,0.27779,0.45738,0.999972,227,3,0.31748,0.50565,0.996177,265,3
FANCI,6,0.27905,0.45872,0.999972,228,1,0.10908,0.24894,0.971779,131,4
RECQL,6,0.27988,0.45958,0.999972,229,2,0.035305,0.10309,0.905459,56,1
CACYBP,6,0.28496,0.46571,0.999972,230,3,0.39027,0.57148,0.996177,299,2
RPA1,6,0.28527,0.4661,0.999972,231,2,0.18882,0.35379,0.996177,185,2
SGOL2,6,0.28561,0.46659,0.999972,232,3,0.56494,0.697,0.996177,366,1
PSME2,6,0.28692,0.46788,0.999972,233,3,0.017654,0.060125,0.905459,30,2
MSH2,6,0.28836,0.46986,0.999972,234,2,0.12483,0.27214,0.971779,145,3
TRAF3IP3,6,0.28889,0.47046,0.999972,235,3,0.76997,0.82349,0.996177,427,1
DNAJC2,6,0.29349,0.47591,0.999972,236,3,0.77057,0.82388,0.996177,428,1
ERCC4,6,0.29651,0.47952,0.999972,237,2,0.31479,0.50244,0.996177,262,3
BRCA2,6,0.30061,0.48421,0.999972,238,2,0.041252,0.11471,0.905459,64,2
NTHL1,6,0.30068,0.48422,0.999972,239,2,0.031324,0.094349,0.905459,51,1
NonTargetControl_0031,1,0.30188,0.48546,0.999972,240,1,0.69812,0.7942,0.996177,410,0
ANAPC7,6,0.30235,0.48583,0.999972,241,2,0.38109,0.56472,0.996177,293,2
NonTargetControl_0011,1,0.30392,0.488,0.999972,242,1,0.69608,0.79364,0.996177,409,0
SLX1B,6,0.30476,0.48906,0.999972,243,3,0.45551,0.61583,0.996177,323,2
TNIK,6,0.30516,0.48938,0.999972,244,1,0.044353,0.12093,0.905459,69,4
ALKBH3,6,0.30676,0.49136,0.999972,245,3,0.98441,0.98391,0.996177,516,0
TDP1,6,0.3101,0.49554,0.999972,246,3,0.049633,0.13179,0.916413,75,3
RUVBL2,6,0.31154,0.49724,0.999972,247,2,0.8501,0.86661,0.996177,445,1
CRY2,6,0.31211,0.49788,0.999972,248,3,0.73073,0.80692,0.996177,417,1
PARP1,6,0.31489,0.50113,0.999972,249,2,0.26491,0.44378,0.996177,231,2
FUS,6,0.31567,0.50195,0.999972,250,1,0.20602,0.37511,0.996177,195,3
POLR2E,6,0.31572,0.50199,0.999972,251,2,0.27749,0.45786,0.996177,239,1
SIRT1,6,0.31681,0.50313,0.999972,252,3,0.84148,0.86106,0.996177,440,1
NEIL1,6,0.31823,0.50498,0.999972,253,2,0.18805,0.3529,0.996177,184,2
RAD50,6,0.31865,0.50537,0.999972,254,1,0.25433,0.43169,0.996177,220,3
RPA3,6,0.31991,0.50696,0.999972,255,2,0.073002,0.17862,0.956904,98,3
AURKB,6,0.32018,0.50724,0.999972,256,3,0.73414,0.8083,0.996177,418,1
USP1,6,0.32661,0.51232,0.999972,257,2,0.18708,0.35146,0.996177,183,3
RFC4,6,0.32753,0.51305,0.999972,258,1,0.41636,0.58822,0.996177,305,2
NonTargetControl_0032,1,0.32782,0.51335,0.999972,259,1,0.67218,0.78236,0.996177,405,0
POLR2G,6,0.33193,0.5163,0.999972,260,2,0.90199,0.90345,0.996177,474,1
NonTargetControl_0029,1,0.3343,0.51815,0.999972,261,0,0.6657,0.77664,0.996177,403,0
C11orf30,6,0.33667,0.52005,0.999972,262,2,0.88252,0.88848,0.996177,461,1
POLD3,6,0.33751,0.52082,0.999972,263,2,0.33193,0.52353,0.996177,272,2
NonTargetControl_0006,1,0.34488,0.52538,0.999972,264,0,0.65512,0.76782,0.996177,399,0
CCNH,6,0.34758,0.52738,0.999972,265,2,0.15629,0.31225,0.986533,167,3
PSMB9,6,0.35642,0.53378,0.999972,266,1,0.89183,0.89504,0.996177,468,1
NonTargetControl_0003,1,0.3599,0.53644,0.999972,267,0,0.6401,0.75592,0.996177,391,0
PSMA8,6,0.36434,0.53954,0.999972,268,2,0.91053,0.91066,0.996177,479,1
TUBB4B,6,0.36769,0.54208,0.999972,269,2,0.41767,0.58902,0.996177,306,1
RRM2B,6,0.38109,0.55127,0.999972,270,2,0.013237,0.047385,0.905459,23,2
WDR33,6,0.39647,0.56298,0.999972,271,1,0.33416,0.52622,0.996177,274,2
