id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
INO80,6,0.10093,0.23647,0.862228,145,2,0.4395,0.64083,0.998814,337,2
POLR1A,6,0.10212,0.23808,0.862228,146,4,0.60634,0.76373,0.998814,391,2
UBTF,6,0.10281,0.23915,0.862228,147,2,0.14217,0.31058,0.840801,195,4
PSMC6,6,0.10462,0.24256,0.868645,148,3,0.12685,0.2863,0.836845,181,2
SMC6,6,0.10661,0.24567,0.87132,149,4,0.59379,0.75648,0.998814,386,1
MCM6,6,0.10731,0.2466,0.87132,150,4,0.41025,0.61413,0.996379,323,2
FUS,6,0.1105,0.25252,0.882914,151,4,0.83059,0.89618,0.998814,463,1
HAUS3,6,0.11086,0.25321,0.882914,152,4,0.043227,0.13115,0.789885,88,1
TUBB4B,6,0.11326,0.25758,0.891957,153,3,0.97508,0.97455,0.998814,510,0
APEX2,6,0.11411,0.25917,0.891957,154,4,0.23317,0.44507,0.977713,239,2
DDB1,6,0.11659,0.26358,0.894296,155,3,0.88592,0.91673,0.998814,471,1
PSMA4,6,0.11742,0.26496,0.894296,156,4,0.66193,0.7954,0.998814,409,2
RAD51D,6,0.11767,0.26551,0.894296,157,1,0.017759,0.062442,0.624416,53,5
POLD4,6,0.11888,0.26734,0.894296,158,4,0.52347,0.71705,0.998814,364,2
ANAPC15,6,0.11934,0.26829,0.894296,159,2,0.1489,0.32136,0.851609,200,4
C17orf70,6,0.12969,0.28633,0.948484,160,3,0.20661,0.41127,0.965368,225,3
PSMD3,6,0.13402,0.29366,0.957025,161,4,0.96389,0.96409,0.998814,497,1
TAF5L,6,0.13414,0.29377,0.957025,162,3,0.76804,0.86052,0.998814,444,2
CCNB2,6,0.13442,0.29433,0.957025,163,4,0.89839,0.92261,0.998814,475,1
FANCA,6,0.13847,0.30143,0.974131,164,4,0.50527,0.70227,0.998814,359,2
BRCA1,6,0.14138,0.3063,0.983888,165,1,0.67254,0.80186,0.998814,416,2
MDC1,6,0.14384,0.31008,0.988019,166,4,0.076295,0.20055,0.827706,128,1
XRN2,6,0.1454,0.31271,0.988019,167,3,0.087736,0.22015,0.827706,139,3
RCC1,6,0.14606,0.31395,0.988019,168,3,0.10468,0.25017,0.827706,157,3
PSMD12,6,0.14678,0.31505,0.988019,169,3,0.85993,0.90672,0.998814,466,1
TRRAP,6,0.14857,0.31839,0.988217,170,1,0.034281,0.10843,0.736268,75,4
FANCF,6,0.1489,0.31884,0.988217,171,4,0.96427,0.96446,0.998814,498,1
BUB1B,6,0.15104,0.3222,0.992833,172,4,0.34066,0.54789,0.996379,286,2
POLR2H,6,0.15617,0.32883,0.999766,173,3,0.67014,0.80068,0.998814,415,1
TPR,6,0.16456,0.33872,0.999766,174,2,0.62191,0.77188,0.998814,396,2
LIG1,6,0.16821,0.34331,0.999766,175,3,0.42139,0.62415,0.996379,331,3
RAD50,6,0.1735,0.34948,0.999766,176,3,0.37187,0.57679,0.996379,306,3
SUMO1,6,0.17683,0.35286,0.999766,177,2,0.76057,0.85564,0.998814,442,2
POLD1,6,0.1773,0.35351,0.999766,178,3,0.80035,0.88202,0.998814,453,2
