id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
FANCA,6,0.11388,0.22695,0.994079,107,3,0.095297,0.19668,0.944473,108,1
PPP4R1,6,0.11397,0.22712,0.994079,108,2,0.17872,0.32177,0.982548,169,3
PSME1,6,0.11523,0.22915,0.994079,109,3,0.97518,0.97539,0.999673,511,0
TUBB1,6,0.11527,0.22917,0.994079,110,2,0.77592,0.78389,0.999673,409,1
NonTargetControl_0013,1,0.11587,0.23009,0.994079,111,1,0.88413,0.88454,0.999673,457,0
SLK,6,0.11767,0.23274,0.994079,112,2,0.69834,0.73137,0.999673,380,1
SMUG1,6,0.11866,0.23405,0.994079,113,3,0.56902,0.66098,0.992316,350,1
HMGB2,6,0.11951,0.23517,0.994079,114,1,0.083935,0.17862,0.944473,98,2
MSH5,6,0.12135,0.23801,0.994079,115,3,0.44579,0.57468,0.987616,307,1
HUS1,6,0.12139,0.23804,0.994079,116,2,0.91665,0.91729,0.999673,474,0
NonTargetControl_0005,1,0.12167,0.23846,0.994079,117,1,0.87833,0.87877,0.999673,455,0
ERCC6,6,0.12319,0.24075,0.994079,118,1,0.1394,0.2641,0.953088,146,3
HAUS5,6,0.12483,0.24339,0.994079,119,2,0.96874,0.96842,0.999673,506,0
CHAF1B,6,0.12502,0.24369,0.994079,120,2,0.69149,0.72715,0.999673,376,1
NCOA6,6,0.12552,0.24436,0.994079,121,2,0.9014,0.9016,0.999673,467,0
PSMB6,6,0.12586,0.24503,0.994079,122,3,0.12002,0.23496,0.944473,131,2
MAP9,6,0.12633,0.24591,0.994079,123,3,0.16997,0.30928,0.982548,165,3
NonTargetControl_0047,1,0.12679,0.24656,0.994079,124,1,0.87321,0.87331,0.999673,451,0
POLE2,6,0.12685,0.24666,0.994079,125,2,0.81055,0.81396,0.999673,421,1
SLX1B,6,0.12868,0.24993,0.994079,126,1,0.48113,0.60976,0.990447,325,1
VCP,6,0.12969,0.2514,0.994079,127,2,0.8406,0.841,0.999673,433,1
CLSPN,6,0.13039,0.25243,0.994079,128,2,0.0095818,0.031431,0.841293,17,3
ANAPC10,6,0.13158,0.25441,0.994079,129,3,0.41897,0.54929,0.982548,294,2
NonTargetControl_0033,1,0.13225,0.25549,0.994079,130,1,0.86775,0.8678,0.999673,446,0
PRIM1,6,0.13233,0.25553,0.994079,131,1,0.036181,0.097581,0.905805,57,3
MLH1,6,0.13414,0.25805,0.994079,132,2,0.39778,0.53044,0.982548,278,2
PSMB3,6,0.13596,0.26074,0.994079,133,2,0.38109,0.51518,0.982548,265,2
CDK1,6,0.13644,0.26158,0.994079,134,3,0.078522,0.17079,0.944473,93,2
FANCB,6,0.13743,0.26278,0.994079,135,3,0.41191,0.54335,0.982548,289,2
RRM2,6,0.13841,0.26431,0.994079,136,3,0.96192,0.96181,0.999673,503,0
GTF2H5,6,0.13887,0.26494,0.994079,137,2,0.68995,0.7262,0.999673,374,1
ZBTB32,6,0.1394,0.26573,0.994079,138,3,0.36348,0.49934,0.982548,260,1
AURKB,6,0.13958,0.26601,0.994079,139,1,0.47172,0.60089,0.990447,319,2
CHEK2,6,0.14138,0.26894,0.994079,140,1,0.085837,0.18155,0.944473,99,1
XPC,6,0.14288,0.27092,0.994079,141,3,0.065343,0.14994,0.927067,85,3
RAD51D,6,0.14317,0.27156,0.994079,142,2,0.6845,0.72263,0.999673,372,1
ATXN3,6,0.14461,0.27378,0.994079,143,3,0.53765,0.64639,0.992316,342,1
KIF3B,6,0.14498,0.27419,0.994079,144,1,0.39694,0.52949,0.982548,277,2
PSMC5,6,0.1459,0.2755,0.994079,145,3,0.93055,0.93059,0.999673,482,0
PSMB8,6,0.14678,0.27679,0.994079,146,2,0.20523,0.35433,0.982548,188,2
UBB,6,0.14857,0.27933,0.994079,147,2,0.73685,0.75652,0.999673,391,1
GADD45A,6,0.14946,0.28058,0.994079,148,3,0.87548,0.87554,0.999673,452,0
POLR2A,6,0.15036,0.2817,0.994079,149,1,0.47092,0.60008,0.990447,318,2
CCNE2,6,0.15115,0.28307,0.994079,150,2,0.39611,0.52874,0.982548,276,2
RB1,6,0.15262,0.28503,0.994079,151,3,0.098843,0.20221,0.944473,113,2
DSCC1,6,0.15335,0.28602,0.994079,152,3,0.13958,0.26435,0.953088,147,1
NonTargetControl_0031,1,0.1541,0.28697,0.994079,153,1,0.8459,0.84587,0.999673,436,0
FBXW7,6,0.15571,0.28932,0.994559,154,2,0.73414,0.7551,0.999673,390,1
APC,6,0.15926,0.29455,0.994559,155,2,0.34422,0.48047,0.982548,256,2
ALKBH1,6,0.16248,0.2993,0.994559,156,3,0.85385,0.85385,0.999673,438,0
PARP4,6,0.1628,0.2998,0.994559,157,2,0.57608,0.66422,0.992316,354,1
CRY1,6,0.16407,0.30122,0.994559,158,3,0.12868,0.24824,0.950045,137,2
PSMB5,6,0.16632,0.30489,0.994559,159,1,0.70358,0.73481,0.999673,382,1
POLR2J,6,0.16671,0.30533,0.994559,160,2,0.40776,0.5395,0.982548,285,2
XRCC5,6,0.17159,0.31271,0.994559,161,1,0.95148,0.95078,0.999673,496,0
PSME3,6,0.17274,0.31438,0.994559,162,2,0.75131,0.76605,0.999673,398,1
TP73,6,0.17578,0.31847,0.994559,163,2,0.55252,0.65347,0.992316,346,1
POLR2D,6,0.17654,0.31966,0.994559,164,2,0.28836,0.42913,0.982548,228,1
TOP1,6,0.1773,0.32069,0.994559,165,2,0.9474,0.94673,0.999673,494,0
INPPL1,6,0.18372,0.33059,0.994559,166,3,0.14138,0.26711,0.956549,148,3
TUBB,6,0.18419,0.33117,0.994559,167,2,0.30213,0.44092,0.982548,235,2
FANCM,6,0.18496,0.33227,0.994559,168,2,0.97383,0.97387,0.999673,510,0
C19orf40,6,0.1855,0.33289,0.994559,169,2,0.23756,0.38398,0.982548,203,1
DBF4,6,0.18722,0.3353,0.994559,170,1,0.32242,0.45949,0.982548,244,2
POLR2L,6,0.19037,0.33967,0.994559,171,2,0.19331,0.34288,0.982548,180,3
RCC1,6,0.19047,0.3398,0.994559,172,3,0.51681,0.63676,0.992316,336,1
APEX1,6,0.19161,0.34165,0.994559,173,3,0.4045,0.53631,0.982548,282,1
CUL4A,6,0.19409,0.34527,0.994559,174,2,0.072455,0.16149,0.944473,90,3
MNAT1,6,0.19582,0.34768,0.994559,175,2,0.04347,0.11357,0.905805,65,3
FANCF,6,0.19738,0.34966,0.994559,176,2,0.34355,0.47985,0.982548,255,1
MUS81,6,0.20091,0.3537,0.994559,177,2,0.83245,0.83322,0.999673,431,1
MLH3,6,0.20599,0.35816,0.994559,178,2,0.089631,0.18761,0.944473,103,2
PSMB10,6,0.20602,0.35822,0.994559,179,2,0.1927,0.34208,0.982548,179,2
ORC2,6,0.20838,0.36037,0.994559,180,2,0.89437,0.89467,0.999673,461,0
NonTargetControl_0025,1,0.20939,0.36104,0.994559,181,1,0.79061,0.7965,0.999673,413,0
POLR2K,6,0.20997,0.36153,0.994559,182,2,0.8428,0.84324,0.999673,435,0
DNAJC2,6,0.21272,0.36384,0.994559,183,1,0.11933,0.23386,0.944473,130,3
POLR2C,6,0.21393,0.36481,0.994559,184,2,0.41243,0.5437,0.982548,290,1
TXN,6,0.21473,0.36541,0.994559,185,2,0.064734,0.1491,0.927067,84,3
SLX1A,6,0.21553,0.3661,0.994559,186,2,0.25433,0.39837,0.982548,212,2
HAUS6,6,0.21632,0.36664,0.994559,187,2,0.49981,0.62852,0.992316,333,1
PSMD1,6,0.21941,0.36962,0.994559,188,1,0.82825,0.8291,0.999673,428,1
CDC34,6,0.22107,0.3713,0.994559,189,1,0.025326,0.071353,0.841293,43,2
MCM6,6,0.22274,0.37307,0.994559,190,2,0.96041,0.96014,0.999673,500,0
WEE1,6,0.2277,0.37776,0.994559,191,1,0.38192,0.51591,0.982548,267,2
KIF11,6,0.22935,0.3794,0.994559,192,1,0.18038,0.32428,0.982548,170,3
POLD2,6,0.23156,0.3818,0.994559,193,2,0.91995,0.92041,0.999673,476,0
TUBB4B,6,0.23237,0.38249,0.994559,194,2,0.37774,0.51206,0.982548,264,2
NonTargetControl_0014,1,0.23567,0.38525,0.994559,195,1,0.76433,0.77524,0.999673,403,0
RRN3,6,0.24128,0.38994,0.994559,196,2,0.029328,0.080955,0.841293,51,1
TOP2B,6,0.24209,0.39046,0.994559,197,2,0.027329,0.076004,0.841293,46,2
TAF5L,6,0.24569,0.39327,0.994559,198,1,0.19389,0.3437,0.982548,182,3
PLA2G1B,6,0.24892,0.39575,0.994559,199,1,0.097418,0.20007,0.944473,111,3
FANCC,6,0.25024,0.39689,0.994559,200,2,0.01526,0.046264,0.841293,26,1
BCL2,6,0.25106,0.39756,0.994559,201,2,0.35345,0.48951,0.982548,259,2
NonTargetControl_0044,1,0.25137,0.39786,0.994559,202,1,0.74863,0.76407,0.999673,397,0
